EventID,NumberSourcesLeaking,LeakPointId,Latitude,Longitude,EmissionCategory,UTCStart,UTCEnd,Duration,LeakRate,BFT,tStart,tEnd
40,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:00:35.000000,2023-04-18_00:15:35.000000,900,36.63627,ReferenceMeteredEvent,1681776035,1681776935
40,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:00:35.000000,2023-04-18_00:15:35.000000,900,64.621765,ReferenceMeteredEvent,1681776035,1681776935
41,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_01:00:35.000000,2700,55.385376,ReferenceMeteredEvent,1681776935,1681779635
41,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_01:00:35.000000,2700,24.345577,ReferenceMeteredEvent,1681776935,1681779635
42,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_00:45:35.000000,1800,36.63627,ReferenceMeteredEvent,1681776935,1681778735
42,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:15:35.000000,2023-04-18_00:45:35.000000,1800,64.621765,ReferenceMeteredEvent,1681776935,1681778735
43,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_00:45:35.000000,2023-04-18_01:00:35.000000,900,36.63627,ReferenceMeteredEvent,1681778735,1681779635
43,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_00:45:35.000000,2023-04-18_01:00:35.000000,900,64.621765,ReferenceMeteredEvent,1681778735,1681779635
44,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_01:45:35.000000,2700,55.385376,ReferenceMeteredEvent,1681779635,1681782335
44,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_01:45:35.000000,2700,24.345577,ReferenceMeteredEvent,1681779635,1681782335
45,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_02:15:35.000000,4500,36.63627,ReferenceMeteredEvent,1681779635,1681784135
45,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_01:00:35.000000,2023-04-18_02:15:35.000000,4500,64.621765,ReferenceMeteredEvent,1681779635,1681784135
46,2,4W-27,40.595936,-105.14027,Fugitive,2023-04-18_01:45:35.000000,2023-04-18_02:30:35.000000,2700,55.385376,ReferenceMeteredEvent,1681782335,1681785035
46,2,4S-43,40.595642,-105.14035,Fugitive,2023-04-18_01:45:35.000000,2023-04-18_02:30:35.000000,2700,24.345577,ReferenceMeteredEvent,1681782335,1681785035
47,2,4T-31,40.59583,-105.139824,Fugitive,2023-04-18_02:15:35.000000,2023-04-18_02:30:36.000000,901,36.63627,ReferenceMeteredEvent,1681784135,1681785036
47,2,5S-26,40.595924,-105.13939,Fugitive,2023-04-18_02:15:35.000000,2023-04-18_02:30:36.000000,901,64.621765,ReferenceMeteredEvent,1681784135,1681785036
48,0,,,,,2023-04-18_02:30:35.000000,2023-04-18_05:30:39.000000,10804,0,ZeroEmissionEvent,1681785035,1681795839
49,0,,,,,2023-04-18_02:30:36.000000,2023-04-18_05:30:39.000000,10803,0,ZeroEmissionEvent,1681785036,1681795839
50,1,4S-21,40.595665,-105.14027,Pre Test,2023-04-18_05:30:39.000000,2023-04-18_05:33:39.000000,180,34.454098,CurrentMeteredEvent,1681795839,1681796019
51,1,4T-11,40.59575,-105.13989,Pre Test,2023-04-18_05:30:39.000000,2023-04-18_05:33:39.000000,180,69.05279,CurrentMeteredEvent,1681795839,1681796019
53,0,,,,,2023-04-18_05:33:39.000000,2023-04-18_05:34:39.000000,60,0,ZeroEmissionEvent,1681796019,1681796079
52,0,,,,,2023-04-18_05:33:39.000000,2023-04-18_05:41:39.000000,480,0,ZeroEmissionEvent,1681796019,1681796499
54,1,5S-32,40.595943,-105.13943,Pre Test,2023-04-18_05:34:39.000000,2023-04-18_05:37:38.000000,179,56.364502,CurrentMeteredEvent,1681796079,1681796258
55,0,,,,,2023-04-18_05:37:38.000000,2023-04-18_05:38:38.000000,60,0,ZeroEmissionEvent,1681796258,1681796318
56,1,5W-13,40.595615,-105.13942,Pre Test,2023-04-18_05:38:38.000000,2023-04-18_05:41:38.000000,180,98.83237,CurrentMeteredEvent,1681796318,1681796498
57,3,4T-11,40.59575,-105.13989,Fugitive,2023-04-18_05:41:38.000000,2023-04-18_06:26:38.000000,2700,69.05279,ReferenceMeteredEvent,1681796498,1681799198
57,3,5W-13,40.595615,-105.13942,Fugitive,2023-04-18_05:41:38.000000,2023-04-18_06:26:38.000000,2700,98.83237,ReferenceMeteredEvent,1681796498,1681799198
